Country;Industry;Industry_name;Year;LP1_G;LP1ConIntang;LP1ConTFP;LP1ConTangICT;I_Intang;I_OrgCap;I_Soft_DB
Denmark;C;Manufacturing;2009;0.688783824443817;3.3229079246521;-6.00911140441895;0.0483831614255905;46381.7484973287;3968.82891088814;3818.702
Denmark;C;Manufacturing;2010;8.9072732925415;1.69260668754578;6.46979427337646;0.0448760613799095;42053.8086231003;3910.53136298592;4170.594
Denmark;C;Manufacturing;2011;3.49658346176147;0.0217428244650364;3.73617553710938;0.362845629453659;44184.3561182248;3948.73647160968;4262.152
Denmark;C;Manufacturing;2012;4.43043327331543;1.44403278827667;2.54405736923218;0.0506539717316628;48263.6079136971;3906.90797385093;5083.101
Denmark;C;Manufacturing;2013;7.05013704299927;1.23337554931641;5.41574668884277;0.0680288299918175;47298.7920258497;3909.55048553318;5121.355
Denmark;C;Manufacturing;2014;1.57068109512329;1.22165620326996;0.593096971511841;0.0507966913282871;49870.7705511605;3956.73627686923;5496.096
Denmark;C;Manufacturing;2015;0.4803546667099;1.37498497962952;-0.528060495853424;-0.0201702527701855;55566.4366170982;4484.33654156929;6501.166
Denmark;C;Manufacturing;2016;2.51977348327637;2.00846433639526;0.847334980964661;-0.0626498088240623;68355.1611312782;4919.71534819322;7592.935
Denmark;C;Manufacturing;2017;7.46597957611084;1.45556354522705;6.24605464935303;-0.0272252894937992;65345.2822331077;5473.75607176541;7488.998
Denmark;C;Manufacturing;2018;4.56322336196899;2.39350080490112;1.56724619865417;-0.0139871696010232;66996.28315512;6094.36767980848;7016.476
Denmark;C;Manufacturing;2019;5.57381677627563;1.2215164899826;4.08582735061646;-0.0321487598121166;67151.1886604068;6805.62870665607;6764.01
Denmark;J;Information and communication;1996;8.26894664764404;1.58194172382355;5.9716067314148;-0.293790936470032;7406.03200354075;834.058912985913;2024.423
Denmark;J;Information and communication;1997;10.500262260437;1.9149489402771;8.55562877655029;0.327871680259705;8967.67455868276;954.97122328659;2869.559
Denmark;J;Information and communication;1998;-0.944820761680603;0.420708268880844;0.882460355758667;0.365526378154755;9782.6412924413;1118.31928396656;2942.134
Denmark;J;Information and communication;1999;0.970485091209412;0.34327244758606;3.80648589134216;0.00136194319929928;11232.4562748663;1304.00387643723;3544.635
Denmark;J;Information and communication;2000;2.57725048065186;0.452686369419098;3.76975274085999;-0.0998135656118393;12342.1573636872;1537.49714470794;3574.808
Denmark;J;Information and communication;2001;3.14980363845825;0.692202925682068;0.175639107823372;0.802735805511475;12781.8598105491;1702.44584095667;3016.818
Denmark;J;Information and communication;2002;7.84779930114746;1.51504993438721;5.7322187423706;0.272931635379791;14254.1538626706;1841.9088663364;3806.566
Denmark;J;Information and communication;2003;13.0713329315186;2.96748089790344;6.84336948394775;0.67398476600647;14522.6775527036;1689.81352912651;4578.45
Denmark;J;Information and communication;2004;6.83468437194824;2.65384936332703;1.21316039562225;0.387518912553787;16725.1364114937;1860.64064023207;5430.192
Denmark;J;Information and communication;2005;6.32136821746826;2.61144685745239;0.782096207141876;0.115400165319443;17634.0195053293;1998.13961505447;5977.552
Denmark;J;Information and communication;2006;1.00228524208069;0.383493304252625;0.0348718799650669;-0.0503168143332005;18431.9595902884;2186.71389621207;6527.137
Denmark;J;Information and communication;2007;8.8560791015625;1.07153856754303;6.50769233703613;-0.298461318016052;19755.6046599832;2440.02391180452;6796.188
Denmark;J;Information and communication;2008;8.98196029663086;1.05832362174988;4.89804220199585;-0.457469642162323;22396.0129584415;2657.56555528816;7554.772
Denmark;J;Information and communication;2009;1.95603144168854;0.965082108974457;2.49671316146851;-0.491087049245834;21836.4486719503;2617.26862377397;7671.887
Denmark;J;Information and communication;2010;3.44174194335938;1.10948407649994;2.34937453269958;-0.257034927606583;23046.4176804257;2679.75301064264;9270.016
Denmark;J;Information and communication;2011;4.54150152206421;1.21771013736725;2.30024766921997;0.162357658147812;22602.232845246;2592.07043943862;9285.3
Denmark;J;Information and communication;2012;2.69514441490173;-0.41700890660286;2.61772155761719;-0.0822755768895149;19924.4380520896;2561.00267568807;6427.76
Denmark;J;Information and communication;2013;7.75261449813843;-0.43248051404953;7.96483898162842;-0.0119703523814678;19999.6892549442;2487.52866424417;6975.354
Denmark;J;Information and communication;2014;1.98745405673981;0.543695092201233;1.38753426074982;-0.13556843996048;21084.2994345121;2556.93119221934;7952.054
Denmark;J;Information and communication;2015;7.7242956161499;0.398026883602142;9.07175064086914;-0.0958263128995895;22860.0888176255;2850.04901918833;8033.193
Denmark;J;Information and communication;2016;5.83823156356812;0.0775492191314697;5.7012448310852;0.0748161897063255;23343.3775470037;2997.70351314022;8123.905
Denmark;J;Information and communication;2017;1.6637921333313;0.86837911605835;0.115855321288109;0.383388847112656;24693.8994382166;3200.85526575495;8923.678
Denmark;J;Information and communication;2018;2.05406522750854;1.62700986862183;-1.76307785511017;0.406432330608368;27266.1603160655;3533.53834407745;10286.917
Denmark;J;Information and communication;2019;4.73309230804443;0.877651572227478;2.98566126823425;1.02344119548798;28523.9557479385;4113.14660259368;10497.937
Denmark;M;Professional, scientific and technical activities;1996;-3.06853318214417;-0.329552382230759;-1.67580986022949;-0.959938287734985;8934.11904800051;1067.89553387083;962.486
Denmark;M;Professional, scientific and technical activities;1997;6.1087064743042;0.327890843153;4.37555408477783;-0.371990323066711;10391.3234044686;1099.26154334951;1415.339
Denmark;M;Professional, scientific and technical activities;1998;-8.3164701461792;-0.0552871972322464;-8.91197109222412;-0.125557944178581;11136.1157351346;1217.271264473;1822.012
Denmark;M;Professional, scientific and technical activities;1999;-1.79623293876648;0.213300809264183;-4.14103841781616;-0.237818837165833;12450.4279991818;1389.71021204815;2051.55
Denmark;M;Professional, scientific and technical activities;2000;-1.70732474327087;-0.365994721651077;-2.33049774169922;-0.209597080945969;12793.4460003987;1507.61980293016;1976.278
Denmark;M;Professional, scientific and technical activities;2001;-0.26099568605423;0.0683689564466476;-2.09326958656311;-0.10970276594162;14337.6943371923;1748.470081938;1727.922
Denmark;M;Professional, scientific and technical activities;2002;-7.0198073387146;0.606682658195496;-8.8300371170044;-0.196326807141304;15247.3819576692;1830.2043354139;1898.062
Denmark;M;Professional, scientific and technical activities;2003;-4.20498275756836;0.278118699789047;-2.27814316749573;-0.485321640968323;15403.2079971176;1806.63853913007;1530.558
Denmark;M;Professional, scientific and technical activities;2004;4.43751239776611;0.805539429187775;2.778813123703;-0.329242199659348;15863.393106946;2016.71437502513;1686.896
Denmark;M;Professional, scientific and technical activities;2005;5.38049364089966;0.303001314401627;6.06826210021973;-0.383040755987167;17734.4710547356;2284.27949104565;1628.637
Denmark;M;Professional, scientific and technical activities;2006;-0.588671863079071;-0.0431197136640549;-3.17463135719299;-0.176522344350815;18129.8622985999;2668.73970669604;1596.267
Denmark;M;Professional, scientific and technical activities;2007;-7.22394418716431;0.433324694633484;-9.22393035888672;-0.0765198171138763;20139.4955198472;3258.97559061363;1892.812
Denmark;M;Professional, scientific and technical activities;2008;2.92183423042297;0.756207644939423;-2.77417469024658;-0.118402063846588;24575.014344822;3924.30362640966;2553.456
Denmark;M;Professional, scientific and technical activities;2009;-4.34469366073608;0.59224271774292;-4.9451961517334;-0.246473640203476;22482.6390770584;3489.69575150699;2834.276
Denmark;M;Professional, scientific and technical activities;2010;-0.948443055152893;0.618844330310822;-2.72529172897339;-0.141317799687386;24724.3421342196;3258.43556052968;3148.853
Denmark;M;Professional, scientific and technical activities;2011;-2.30646347999573;-0.150511592626572;-2.19738602638245;-0.0154171884059906;22339.116082586;3187.91782995602;2961.995
Denmark;M;Professional, scientific and technical activities;2012;-2.8474555015564;-0.324291437864304;-2.21767711639404;0.163347736001015;20434.0016072868;3336.95471794722;3324.16
Denmark;M;Professional, scientific and technical activities;2013;2.65913200378418;-0.622148513793945;1.33289301395416;0.0486437603831291;21849.5071290023;3472.24692553368;3363.517
Denmark;M;Professional, scientific and technical activities;2014;0.609778106212616;0.215530142188072;-0.36223641037941;0.0624069720506668;22147.452396898;3460.25931971527;3326.606
Denmark;M;Professional, scientific and technical activities;2015;2.94454193115234;0.0849770754575729;2.95959854125977;-0.113250330090523;23942.2047201962;3854.95833379988;3720.094
Denmark;M;Professional, scientific and technical activities;2016;7.58807373046875;-0.391910225152969;8.52279949188232;0.0103672193363309;25490.1261545805;4083.27147218468;4090.038
Denmark;M;Professional, scientific and technical activities;2017;1.47316575050354;0.555943727493286;0.405028373003006;0.0786719098687172;27283.6739214784;4563.39835043885;4598.857
Denmark;M;Professional, scientific and technical activities;2018;2.20882678031921;1.32938230037689;0.430649876594543;-0.0496881678700447;31196.5493814275;4815.18759390039;6631.119
Denmark;M;Professional, scientific and technical activities;2019;3.20095562934875;2.8356351852417;0.35313418507576;-0.0158159825950861;37257.0243917715;4999.39306316057;9362.885
Denmark;TOT_IND;Total industries (A-S);1996;2.09887051582336;0.428159296512604;1.24455547332764;-0.0762449949979782;95432.458995068;14886.8455260957;9987.005
Denmark;TOT_IND;Total industries (A-S);1997;0.649131059646606;0.273372143507004;0.0785550624132156;-0.0414263978600502;104127.800889329;15687.8476556507;12422.999
Denmark;TOT_IND;Total industries (A-S);1998;-0.224941045045853;0.299197643995285;-0.871776223182678;-0.0778325572609901;111606.778077231;16635.1856336644;14593.998
Denmark;TOT_IND;Total industries (A-S);1999;1.50113832950592;0.417356669902802;1.0022965669632;-0.0390876457095146;121287.553470278;17921.7965317425;17224.999
Denmark;TOT_IND;Total industries (A-S);2000;3.09993815422058;0.363178670406342;2.16614985466003;-0.0210723504424095;127825.631739218;18844.6737978319;16664.001
Denmark;TOT_IND;Total industries (A-S);2001;0.0389011576771736;0.331836670637131;-1.02057123184204;0.00908329430967569;138027.22480683;20196.8638149308;15948.999
Denmark;TOT_IND;Total industries (A-S);2002;0.821800172328949;0.449295073747635;-0.635013103485107;0.0600418709218502;139074.109677389;20691.0840260501;19529.0
Denmark;TOT_IND;Total industries (A-S);2003;1.67507719993591;0.385688751935959;0.212224826216698;0.0136082312092185;143041.496871078;20536.5511330196;19907.997
Denmark;TOT_IND;Total industries (A-S);2004;2.61133337020874;0.330763459205627;1.58251893520355;0.0830614194273949;148652.93632889;21899.1688712961;21356.998
Denmark;TOT_IND;Total industries (A-S);2005;1.19148552417755;0.440238744020462;0.720186412334442;0.0151053816080093;164352.488347502;23517.4043900768;21924.999
Denmark;TOT_IND;Total industries (A-S);2006;1.28545522689819;0.228167578577995;1.02143049240112;0.0998639464378357;171865.06054354;25790.1772800549;24087.997
Denmark;TOT_IND;Total industries (A-S);2007;0.172439396381378;0.392920196056366;-1.73060035705566;-0.0317159965634346;184524.083424398;27978.3090560509;26135.0
Denmark;TOT_IND;Total industries (A-S);2008;-0.828260362148285;0.409318774938583;-2.76822566986084;-0.123372450470924;209186.748932218;30125.0276583023;29806.002
Denmark;TOT_IND;Total industries (A-S);2009;-0.919705986976624;0.689319610595703;-2.99998307228088;-0.07534109801054;205899.802990316;29481.7591911787;28699.996
Denmark;TOT_IND;Total industries (A-S);2010;3.17639493942261;0.455136656761169;1.93869769573212;-0.0413669422268867;205873.717546289;30005.0879915324;32608.001
Denmark;TOT_IND;Total industries (A-S);2011;0.673664152622223;0.103999055922031;0.609937191009521;0.00345139927230775;207452.288862712;29894.747871482;32716.998
